year,sex,rank,name,size,perc,total_size,total_perc
1999,M,9,Ryan,440,1.1,4529,11.1
1987,M,18,John,440,1.2,11457,31.7
1985,M,17,Tyler,440,1.2,11383,31.8
1984,F,7,Nicole,440,1.3,4351,13.0
2007,F,1,Olivia,439,1.0,439,1.0
1996,M,13,Daniel,439,1.1,7058,17.6
2012,F,3,Olivia,438,1.0,"1,367",3.2
2001,F,3,Hannah,438,1.1,1410,3.6
1990,M,21,Robert,438,1.1,13266,32.6
1988,F,7,Nicole,437,1.2,4590,13.0
2000,M,8,Daniel,436,1.0,4010,9.6
1998,M,10,Matthew,435,1.1,5280,12.9
1997,M,12,Kyle,435,1.1,6393,16.0
1995,F,4,Hannah,435,1.1,1948,5.1
1984,M,18,Kyle,435,1.2,11930,33.7
1995,F,5,Samantha,434,1.1,2382,6.3
2002,F,2,Emma,433,1.1,922,2.4
2002,M,3,Joshua,433,1.1,1535,3.8
1989,M,18,John,433,1.1,11498,29.8
2009,F,2,Olivia,432,1.0,887,2.0
2001,M,5,Andrew,432,1.1,2466,6.1
1980,M,17,Jeremy,432,1.2,11731,33.7
2011,F,2,Olivia,431,1.0,884,2.1
2009,M,2,Jacob,431,0.9,879,1.9
1985,M,18,John,431,1.2,11814,33.0
2009,F,3,Sophia,430,1.0,1317,3.0
2008,F,1,Olivia,430,1.0,430,1.0
1981,F,6,Nicole,430,1.3,4153,12.2
2002,M,4,Michael,429,1.1,1964,4.9
2000,M,9,Ryan,429,1.0,4439,10.7
1996,M,14,Joseph,429,1.1,7487,18.7
2013,F,2,Olivia,428,1.0,877,2.1
2011,F,3,Emma,428,1.0,"1,312",3.1
2007,F,2,Emily,428,1.0,867,2.0
2005,F,1,Emma,428,1.1,428,1.1
2003,M,3,Joshua,428,1.0,1470,3.6
2003,M,4,Ryan,428,1.0,1898,4.6
1997,F,4,Sarah,428,1.1,1975,5.2
1997,M,13,Joseph,428,1.1,6821,17.0
1991,M,22,Robert,428,1.0,13301,32.5
1989,M,19,Brandon,428,1.1,11926,30.9
1984,M,19,Adam,428,1.2,12358,34.9
2010,F,2,Olivia,427,1.0,901,2.1
1997,M,14,Ryan,426,1.1,7247,18.1
1987,F,6,Nicole,426,1.3,4276,12.5
1986,F,6,Nicole,426,1.3,4168,12.3
2005,F,2,Emily,425,1.1,853,2.1
2005,M,3,Alexander,425,1.0,1360,3.2
1990,F,7,Stephanie,425,1.1,4383,11.3
2002,M,5,Alexander,424,1.0,2388,5.9
1982,M,18,Adam,424,1.2,12143,34.2
2006,F,1,Emma,423,1.0,423,1.0
2002,F,3,Hannah,423,1.1,1345,3.5
1990,F,8,Megan,423,1.1,4806,12.4
1985,M,19,Brian,423,1.2,12237,34.1
1986,F,7,Stephanie,422,1.2,4590,13.6
1985,F,8,Megan,422,1.2,5081,14.8
1997,F,5,Samantha,421,1.1,2396,6.3
1997,M,15,Christopher,421,1.1,7668,19.2
1984,M,20,Aaron,421,1.2,12779,36.1
2009,M,3,William,420,0.9,"1,299",2.8
1997,M,16,David,420,1.0,8088,20.2
1996,F,4,Hannah,420,1.1,1873,4.9
1989,M,20,Anthony,420,1.1,12346,32.0
1986,M,20,Jason,420,1.2,12369,34.8
2009,M,4,Ethan,419,0.9,"1,718",3.8
1999,M,10,Daniel,419,1.0,4948,12.1
