origin,dest,name,lat,lng,IndirectPrice,DirectPrice,anyPrice,kmDist,dollarPerKm
"SFOA","YBLA","Campbell River","49.946389","-125.265556","","","","852.33","",
"SFOA","YCDA","Nanaimo","49.164167","-123.936389","","","","790.21","",
"SFOA","YCGA","Castlegar","49.295556","-117.632222","","","","830.55","",
"SFOA","YDFA","Deer Lake","49.216667","-57.4","","","","3247.77","",
"SFOA","YEAA","Edmonton","53.566667","-113.516667","","","","1170.21","",
"SFOA","YFCA","Fredericton","45.95","-66.666667","","","","2863.54","",
"SFOA","YGKA","Kingston","44.230933","-76.48098","","","","2404.11","",
"SFOA","YHMA","Hamilton","43.246203","-79.893265","772","","772","2240.79","0.34",
"SFOA","YHZA","Halifax","44.67","-63.61","526","","526","3025.99","0.17",
"SFOA","YKAA","Kamloops","50.699167","-120.438333","","","","897.91","",
"SFOA","YLWA","Kelowna","49.883333","-119.483333","","","","848.79","",
"SFOA","YMMA","Fort Mcmurray","56.72676","-111.38103","566","","566","1403.60","0.40",
"SFOA","YOWA","Ottawa","45.41117","-75.69812","352","","352","2435.24","0.14",
"SFOA","YPRA","","","","","","","","",
"SFOA","YQBA","Quebec","46.816667","-71.216667","473","","473","2640.86","0.18",
"SFOA","YQFA","","","","","","","","",
"SFOA","YQGA","Windsor","42.313878","-83.036041","728","","728","2087.49","0.35",
"SFOA","YQLA","Lethbridge","49.631944","-112.791667","","","","947.87","",
"SFOA","MONB","Moncton","46.092281","-64.771271","","","","2951.51","",
"SFOA","YQQA","Comox","49.68294","-124.93613","","","","831.84","",
"SFOA","YQRA","Regina","50.45008","-104.6178","693","","693","1237.27","0.56",
"SFOA","YQTA","Thunder Bay","48.383333","-89.25","3787","","3787","1808.97","2.09",
"SFOA","YQUA","Grande Prairie","55.184167","-118.894444","","","","1213.75","",
"SFOA","YQYA","Sydney","46.1378","-60.1829","","","","3166.20","",
"SFOA","YQZA","","","","","","","","",
"SFOA","YSBA","Sudbury","46.49532","-80.991211","","","","2178.84","",
"SFOA","YSJA","Saint John","45.2796","-66.0628","","","","2900.17","",
