airline,country,status
Air Tahoma,USA,Inactive
Air Tanzania,Tanzania,Active
Air Tara,Ireland,Inactive
Air Taraba,Nigeria,Active
Air Tchad,Chad,Inactive
Air Tindi,Canada,Active
Air Togo,Togo,Inactive
Air Toulouse,France,Inactive
Air Transat,Canada,Active
Air Transport International,USA,Active
Air Transse,Japan,Inactive
Air Tungaru,Kiribati,Inactive
Air Turks & Caicos,Turks &amp; Caicos Islands,Inactive
Air Turquoise,France,Inactive
Air Uganda,Uganda,Active
Air UK,United Kingdom,Inactive
Air UK Leisure,United Kingdom,Inactive
Air Ukraine,Ukraine,Inactive
Air Universal,Jordan,Inactive
Air Urga,Ukraine,Active
Air Tahoma,USA,Inactive
Air Tanzania,Tanzania,Active
Air Tara,Ireland,Inactive
Air Taraba,Nigeria,Active
Air Tchad,Chad,Inactive
Air Tindi,Canada,Active
Air Togo,Togo,Inactive
Air Toulouse,France,Inactive
Air Transat,Canada,Active
Air Transport International,USA,Active
Air Transse,Japan,Inactive
Air Tungaru,Kiribati,Inactive
Air Turks & Caicos,Turks &amp; Caicos Islands,Inactive
Air Turquoise,France,Inactive
Air Uganda,Uganda,Active
Air UK,United Kingdom,Inactive
Air UK Leisure,United Kingdom,Inactive
Air Ukraine,Ukraine,Inactive
Air Universal,Jordan,Inactive
Air Urga,Ukraine,Active
Air Vallee,Italy,Active
Air Vanuatu,Vanuatu,Active
Air Vardar,Macedonia,Inactive
Air Vendee,France,Inactive
Air Via,Bulgaria,Active
Air Wagon Int,Indonesia,Inactive
Air Wales,United Kingdom,Inactive
Air West Cargo,Kazakhstan,Inactive
Air Wisconsin,USA,Active
Air Zaire,Zaire,Inactive
Air Zarco,Portugal,Inactive
Air Zena Georgian Airlines,Georgia,Active
Air Zimbabwe,Zimbabwe,Active
AIR-VAN Airlines,Armenia,Inactive
AirAsia,Malaysia,Active
AirAsia India,India,Active
AirAsia Japan,Japan,Inactive
AirAsia Philippines,Philippines,Active
AirAsia X,Malaysia,Active
AirBlue,Pakistan,Active
Air Vallee,Italy,Active
Air Vanuatu,Vanuatu,Active
Air Vardar,Macedonia,Inactive
Air Vendee,France,Inactive
Air Via,Bulgaria,Active
Air Wagon Int,Indonesia,Inactive
Air Wales,United Kingdom,Inactive
Air West Cargo,Kazakhstan,Inactive
Air Wisconsin,USA,Active
Air Zaire,Zaire,Inactive
Air Zarco,Portugal,Inactive
Air Zena Georgian Airlines,Georgia,Active
Air Zimbabwe,Zimbabwe,Active
AIR-VAN Airlines,Armenia,Inactive
